Capital Requirement,Expected Loss
437470.5424534472,12956.787345282273
428631.87560232356,12094.033922277074
460608.0294179447,13888.750170850197
437580.1945639696,13408.160571754594
449425.30047068227,12909.304443962663
462426.2141014327,13632.223154481437
422470.13759337633,12418.948125354073
443632.0911226367,13012.391254548167
410278.3264752076,11885.604913119769
468968.95008552854,14385.469923004195
452755.1488584643,14072.44586760747
462215.23473417136,14190.611394249037
465476.66876270954,13655.818866140791
434055.74137854174,12996.886405333233
463165.1930325223,14150.484111910639
416306.6587871631,11920.246095175338
475426.2078083018,17792.326292163354
451329.6708777912,13155.89677547536
435436.19294679165,12943.653953063153
441696.6429374171,13026.735079942753
464209.3396373908,13687.802444762725
456137.7234139914,13237.621162816678
438628.6362803831,12639.483038056842
430599.74986568047,12348.831095745623
430275.1486390106,12935.902136428444
420831.9584902849,11782.564691458241
425845.79706280184,12438.938012217945
467798.156592969,13104.74642211425
436399.3074935529,12410.540658553975
459918.8476805749,13125.76609621448
448097.6255699591,13334.511456594164
463601.51234846073,14854.59019616718
428430.8766611468,12104.916694956719
433449.70766756806,12564.385416929017
460957.99126308697,13284.810546117984
469238.2516774696,14046.956522565451
430203.55838278454,12841.922960865999
434273.47205244366,13026.118222524348
424828.16030313226,12686.750206578705
439633.5251328114,13264.571347933648
423463.82143888826,13071.666678450958
432461.9874495943,12976.07754901531
459111.0663277161,16780.78670829952
410203.51047519915,13184.43973060042
438944.33576567814,12667.94070396094
436858.46316974214,13284.127086253975
447634.1697812529,13077.007930993586
449124.84450970346,13995.815953890507
455668.42740699433,13369.671322575297
432310.6672883971,12693.964921228087
458073.4656626154,14739.361702873884
427270.7090764544,11970.420651301563
444513.9076906586,12666.681398747412
450999.18118188856,13240.826294516213
409203.9859639588,12599.785053514583
452917.071009042,12575.481430383988
463404.0370537427,13088.504173672474
451099.5107670214,14081.248534044236
432679.5133085053,12573.499705691847
454596.3570729558,13831.662588912724
436424.1663457532,12769.390303611486
457185.9898877823,14533.501383966473
432769.32133302325,12430.281060714828
434808.04954598536,12732.950336740705
477711.179552514,13020.92517524392
428422.5440924342,13246.75971695636
441369.1807943663,12623.404455313965
446448.76085337286,13471.524484619977
445244.48026194924,12726.398772678716
450794.48886737006,14196.393253267775
444088.68750571896,13288.203697736224
480785.53059252264,14481.99422384425
437353.70446840953,12917.04093910386
442999.46875009843,12738.770572497677
445436.3966959472,13127.068546436118
425286.0739578048,12315.421932365727
501495.62025283347,16541.624185983816
430423.89697150234,13620.103015589946
456333.65884364775,13587.10620119751
437390.832803292,12994.7974625858
432506.47991629335,13008.084253927533
458253.05107915774,12838.838960117697
424023.10066601227,13195.519226101751
440167.2831657727,13041.272629334555
459457.25637135317,15168.663390429952
471510.7988218225,13589.823875457565
426838.40256038355,13758.215171181444
463938.3975195085,14115.868658630789
460577.20496978075,13604.484561646354
453490.387412668,13321.261546160937
485698.09015988215,17508.54573430579
